"Status","Name","Duration in ms","Description"
"passed","Script.test_baidu.TestBaidu#test_open_baidu","2636",""
"passed","Script.test_login_app.TestLogin#test_login","21166",""
"passed","Script.test_commit_order_api.TestCommitOrder#test_commit_order_api","436",""
"passed","Script.test_channel_app.TestChannel#test_02_channel","23235",""
"passed","Script.test_alfred_login_api_perfect.TestAlfredLoginApi#test_login_yaml_api","103",""
"passed","Script.test_yaml_ne_login_app.TestLogin#test_login1","22030",""
"passed","Script.test_login_api.TestDemoApi#test_02_requests","106",""
"passed","Script.test_demo_docking.TestDemo#test_01","200",""
"passed","Script.test_yaml_ne_login_app.TestLogin#test_login1","22128",""
"passed","Script.test_login_api.TestDemoApi#test_01_session","114",""
"passed","Script.test_order500_api.TestOrder500#test_commit_order_api_0","62636",""
"passed","Script.test_channel_app.TestChannel#test_channel","57607",""
"passed","Script.test_login_app.TestLogin#test_login","21282",""
"passed","Script.test_commit_order_api.TestToday#test_commit_order_api","285",""
"passed","Script.test_alfred_login_api_perfect.TestAlfredLoginApi#test_login_yaml_api","120",""
